tʰi˩˥	tʰ i ˩˥  
mɤ˧tsɑ˧bi˥	m ɤ ˧ ts ɑ ˧ b i ˥  
mɤ˧tsʰɯ˩	m ɤ ˧ tsʰ ɯ ˩  
mɤ˧tv̩˧ɲi˥	m ɤ ˧ t v̩ ˧ ɲ i ˥  
mɤ˧tɑ˩hwɤ˩ze˩	m ɤ ˧ t ɑ ˩ h wɤ ˩ z e ˩  
mɤ˧tɕɯ˧˥	m ɤ ˧ tɕ ɯ ˧˥  
mɤ˧tɕʰi˧ze˧	m ɤ ˧ tɕʰ i ˧ z e ˧  
mɤ˧tɕʰi˧ɲi˥tsɯ˩	m ɤ ˧ tɕʰ i ˧ ɲ i ˥ ts ɯ ˩  
mɤ˧tɕʰi˧ɳɯ˧	m ɤ ˧ tɕʰ i ˧ ɳ ɯ ˧  
mɤ˧tɕʰo˧hĩ˥	m ɤ ˧ tɕʰ o ˧ h ĩ ˥  
mɤ˧tʰo˥	m ɤ ˧ tʰ o ˥  
mɤ˧tʰv̩˧	m ɤ ˧ tʰ v̩ ˧  
mɤ˧tʰv̩˧ɲi˥dʑo˩	m ɤ ˧ tʰ v̩ ˧ ɲ i ˥ dʑ o ˩  
mɤ˧tʰɑ˧hĩ˧	m ɤ ˧ tʰ ɑ ˧ h ĩ ˧  
mɤ˧tʰɑ˧ze˥	m ɤ ˧ tʰ ɑ ˧ z e ˥  
mɤ˧tʰɑ˧ɲi˥	m ɤ ˧ tʰ ɑ ˧ ɲ i ˥  
mɤ˧tʰɑ˧ɲi˥kv̩˩	m ɤ ˧ tʰ ɑ ˧ ɲ i ˥ k v̩ ˩  
mɤ˧tʰɑ˧ɲi˥wɤ˩	m ɤ ˧ tʰ ɑ ˧ ɲ i ˥ wɤ ˩  
mɤ˧tʰɑ˧ɻ̍˥	m ɤ ˧ tʰ ɑ ˧ ɻ̍ ˥  
mɤ˧ze˩	m ɤ ˧ z e ˩  
mɤ˧ŋv̩˩tsɯ˩	m ɤ ˧ ŋ v̩ ˩ ts ɯ ˩  
mɤ˧ɖwæ˩ze˩pi˩tsɯ˩	m ɤ ˧ ɖ wæ ˩ z e ˩ p i ˩ ts ɯ ˩  
mɤ˧ɖɯ˧ɲi˥tsɯ˩	m ɤ ˧ ɖ ɯ ˧ ɲ i ˥ ts ɯ ˩  
mɤ˧ɖɯ˧ɲi˥wɤ˩	m ɤ ˧ ɖ ɯ ˧ ɲ i ˥ wɤ ˩  
mɤ˧ɖʐo˧	m ɤ ˧ ɖʐ o ˧  
mɤ˧ɲi˥dʑo˩	m ɤ ˧ ɲ i ˥ dʑ o ˩  
mɤ˧ɲi˥hĩ˩	m ɤ ˧ ɲ i ˥ h ĩ ˩  
mɤ˧ɲi˥kv̩˩tsɯ˩	m ɤ ˧ ɲ i ˥ k v̩ ˩ ts ɯ ˩  
mɤ˧ɲi˥mæ˩	m ɤ ˧ ɲ i ˥ m æ ˩  
mɤ˧ɲi˩mæ˩	m ɤ ˧ ɲ i ˩ m æ ˩  
mɤ˧ɲi˩ze˩wɤ˩	m ɤ ˧ ɲ i ˩ z e ˩ wɤ ˩  
mɤ˧ɲi˩zo˩	m ɤ ˧ ɲ i ˩ z o ˩  
mɤ˧ɳv̩˥	m ɤ ˧ ɳ v̩ ˥  
mɤ˧ʁo˥pv̩˩	m ɤ ˧ ʁ o ˥ p v̩ ˩  
mɤ˧ʁɑ˧hĩ˧	m ɤ ˧ ʁ ɑ ˧ h ĩ ˧  
mɤ˧ʂɯ˥ʂɯ˩	m ɤ ˧ ʂ ɯ ˥ ʂ ɯ ˩  
mɤ˧ʂɯ˧zo˩	m ɤ ˧ ʂ ɯ ˧ z o ˩  
mɤ˧ʈwɤ˧	m ɤ ˧ ʈ wɤ ˧  
mɤ˧ʈʂɤ˥ʈʂɤ˩	m ɤ ˧ ʈʂ ɤ ˥ ʈʂ ɤ ˩  
mɤ˧ʈʂɤ˧zo˩	m ɤ ˧ ʈʂ ɤ ˧ z o ˩  
mɤ˧ʈʂɤ˧ɲi˥	m ɤ ˧ ʈʂ ɤ ˧ ɲ i ˥  
mɤ˧ʈʂʰæ˧ʈʂʰæ˧	m ɤ ˧ ʈʂʰ æ ˧ ʈʂʰ æ ˧  
mɤ˧ʐwɤ˩zo˩	m ɤ ˧ ʐ wɤ ˩ z o ˩  
mɤ˧ʝi˥	m ɤ ˧ ʝ i ˥  
mɤ˧ʝi˧wɤ˧	m ɤ ˧ ʝ i ˧ wɤ ˧  
mɤ˧ʝi˧ɲi˥	m ɤ ˧ ʝ i ˧ ɲ i ˥  
mɤ˩dʑo˩dʑo˩	m ɤ ˩ dʑ o ˩ dʑ o ˩  
mɤ˩gv̩˩pi˩	m ɤ ˩ g v̩ ˩ p i ˩  
mɤ˩ki˩	m ɤ ˩ k i ˩  
mɤ˩kv̩˥	m ɤ ˩ k v̩ ˥  
mɤ˩kv̩˩mæ˩	m ɤ ˩ k v̩ ˩ m æ ˩  
mɤ˩kv̩˩tsɯ˩pi˩	m ɤ ˩ k v̩ ˩ ts ɯ ˩ p i ˩  
mɤ˩mv̩˩ʈʂʰɯ˥	m ɤ ˩ m v̩ ˩ ʈʂʰ ɯ ˥  
mɤ˩mv̩˩˥	m ɤ ˩ m v̩ ˩˥  
mɤ˩so˩hĩ˩ɖʐɯ˩kʰɤ˩	m ɤ ˩ s o ˩ h ĩ ˩ ɖʐ ɯ ˩ kʰ ɤ ˩  
mɤ˩ɖo˩˥	m ɤ ˩ ɖ o ˩˥  
mɤ˩ɖɯ˩	m ɤ ˩ ɖ ɯ ˩  
mɤ˩ɲi˥zo˩	m ɤ ˩ ɲ i ˥ z o ˩  
mɤ˩ɲi˩mæ˩	m ɤ ˩ ɲ i ˩ m æ ˩  
mɤ˩ɲi˩zo˩	m ɤ ˩ ɲ i ˩ z o ˩  
mɤ˩ʁo˩	m ɤ ˩ ʁ o ˩  
ni˧fv̩˥	n i ˧ f v̩ ˥  
ni˧fv̩˥tʰv̩˩	n i ˧ f v̩ ˥ tʰ v̩ ˩  
ni˧mi˧	n i ˧ m i ˧  
ni˧mi˧ki˧dʑo˩	n i ˧ m i ˧ k i ˧ dʑ o ˩  
ni˧tsi˧kv̩˧˥	n i ˧ ts i ˧ k v̩ ˧˥  
ni˧ɻæ˥	n i ˧ ɻ æ ˥  
ni˧ʈʂʰɯ˥dʑo˩	n i ˧ ʈʂʰ ɯ ˥ dʑ o ˩  
ni˧ʈʂʰɯ˧dʑo˩	n i ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
ni˧˥	n i ˧˥  
ni˩	n i ˩  
ni˩zo˩	n i ˩ z o ˩  
njæ˧sɯ˩kv̩˩dʑ	n jæ ˧ s ɯ ˩ k v̩ ˩ dʑ  
njæ˧sɯ˩kv̩˩ɳɯ˩	n jæ ˧ s ɯ ˩ k v̩ ˩ ɳ ɯ ˩  
njæ˧sɯ˩kv̩˩ʁwɤ˩qo˩	n jæ ˧ s ɯ ˩ k v̩ ˩ ʁ wɤ ˩ q o ˩  
njæ˧ɻæ˩	n jæ ˧ ɻ æ ˩  
njæ˧ɻæ˩dʑo˩	n jæ ˧ ɻ æ ˩ dʑ o ˩  
njæ˧ɻæ˩se˩	n jæ ˧ ɻ æ ˩ s e ˩  
njæ˧ɻ̍˩dʑo˩	n jæ ˧ ɻ̍ ˩ dʑ o ˩  
njæ˩sɯ˩kv̩˩ki˩	n jæ ˩ s ɯ ˩ k v̩ ˩ k i ˩  
njɤ˧dʑo˥	n jɤ ˧ dʑ o ˥  
njɤ˧mv̩˩	n jɤ ˧ m v̩ ˩  
njɤ˧pʰi˩	n jɤ ˧ pʰ i ˩  
njɤ˧qɑ˥	n jɤ ˧ q ɑ ˥  
njɤ˧qɑ˩	n jɤ ˧ q ɑ ˩  
njɤ˧sɯ˩kv̩˩	n jɤ ˧ s ɯ ˩ k v̩ ˩  
njɤ˧sɯ˩kv̩˩bv̩˩	n jɤ ˧ s ɯ ˩ k v̩ ˩ b v̩ ˩  
njɤ˧ə˧mɑ˧	n jɤ ˧ ə ˧ m ɑ ˧  
njɤ˧ɳɯ˧dʑo˥	n jɤ ˧ ɳ ɯ ˧ dʑ o ˥  
njɤ˩lɑ˥	n jɤ ˩ l ɑ ˥  
njɤ˩lɑ˩	n jɤ ˩ l ɑ ˩  
njɤ˩njɤ˧	n jɤ ˩ n jɤ ˧  
nn	n n  
nnn	n n n  
no	n o  
no˧ki˧dʑo˩	n o ˧ k i ˧ dʑ o ˩  
no˧ni˩zo˩	n o ˧ n i ˩ z o ˩  
no˧sɯ˩kv̩˩dʑo˩	n o ˧ s ɯ ˩ k v̩ ˩ dʑ o ˩  
no˧sɯ˩kv̩˩ki˩	n o ˧ s ɯ ˩ k v̩ ˩ k i ˩  
no˧sɯ˩kv̩˩ni˩gv̩˩	n o ˧ s ɯ ˩ k v̩ ˩ n i ˩ g v̩ ˩  
no˧tɑ˧kɤ˥	n o ˧ t ɑ ˧ k ɤ ˥  
no˧zɯ˩	n o ˧ z ɯ ˩  
no˧ɻ˩	n o ˧ ɻ ˩  
no˧ɻ̍˩ɳɯ˩	n o ˧ ɻ̍ ˩ ɳ ɯ ˩  
no˧ʁo˧to˩	n o ˧ ʁ o ˧ t o ˩  
no˩dʑo˥	n o ˩ dʑ o ˥  
no˩dʑo˧	n o ˩ dʑ o ˧  
no˩tɑ˩kɤ˥	n o ˩ t ɑ ˩ k ɤ ˥  
no˩zɯ˧tɑ˧kɤ˥	n o ˩ z ɯ ˧ t ɑ ˧ k ɤ ˥  
nv̩˧hṽ̩˩	n v̩ ˧ h ṽ̩ ˩  
nv̩˧tv̩˥ʈʂʰɯ˩	n v̩ ˧ t v̩ ˥ ʈʂʰ ɯ ˩  
nv̩˩dʑɯ˥ʈʂʰɯ˩	n v̩ ˩ dʑ ɯ ˥ ʈʂʰ ɯ ˩  
nv̩˩mi˩	n v̩ ˩ m i ˩  
nv̩˩ɭɯ˥	n v̩ ˩ ɭ ɯ ˥  
nv̩˩ɭɯ˥ʈʂʰɯ˩	n v̩ ˩ ɭ ɯ ˥ ʈʂʰ ɯ ˩  
næ˩qʰæ˥ʈʂʰe˩hĩ˩	n æ ˩ qʰ æ ˥ ʈʂʰ e ˩ h ĩ ˩  
næ˩qʰæ˥ʈʂʰe˩zo˩	n æ ˩ qʰ æ ˥ ʈʂʰ e ˩ z o ˩  
nɑ˧mi˧	n ɑ ˧ m i ˧  
nɑ˩dzi˧kwɤ˩tɕɯ˩lɑ˩	n ɑ ˩ dz i ˧ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
nɑ˩dʑi˥dʑo˩	n ɑ ˩ dʑ i ˥ dʑ o ˩  
nɑ˩dʑi˧	n ɑ ˩ dʑ i ˧  
nɑ˩dʑi˧hṽ̩˧	n ɑ ˩ dʑ i ˧ h ṽ̩ ˧  
nɑ˩dʑo˥	n ɑ ˩ dʑ o ˥  
nɑ˩hɑ˥dʑo˩	n ɑ ˩ h ɑ ˥ dʑ o ˩  
nɑ˩hɑ˧	n ɑ ˩ h ɑ ˧  
nɑ˩nɑ˧	n ɑ ˩ n ɑ ˧  
nɑ˩ts	n ɑ ˩ ts  
nɑ˩tsʰi˩ki˥	n ɑ ˩ tsʰ i ˩ k i ˥  
nɑ˩tsʰi˩ki˥ɳɯ˩	n ɑ ˩ tsʰ i ˩ k i ˥ ɳ ɯ ˩  
nɑ˩ʈʂʰɯ˧	n ɑ ˩ ʈʂʰ ɯ ˧  
nɑ˩ʈʂʰɯ˧dʑo˩	n ɑ ˩ ʈʂʰ ɯ ˧ dʑ o ˩  
nɑ˩ʐwɤ˥pi˩dʑo˩	n ɑ ˩ ʐ wɤ ˥ p i ˩ dʑ o ˩  
õ˧go˧mi˥	õ ˧ g o ˧ m i ˥  
õ˧so˥ɳɯ˩	õ ˧ s o ˥ ɳ ɯ ˩  
õ˧tɑ˧kɤ˥	õ ˧ t ɑ ˧ k ɤ ˥  
õ˧tʰv̩˧ne˧	õ ˧ tʰ v̩ ˧ n e ˧  
õ˧tʰv̩˧so˩dʑo˩	õ ˧ tʰ v̩ ˧ s o ˩ dʑ o ˩  
õ˧tʰv̩˧ʑi˥ki˩	õ ˧ tʰ v̩ ˧ ʑ i ˥ k i ˩  
õ˧ə˧mi˥	õ ˧ ə ˧ m i ˥  
õ˧ɬi˧qʰv̩˧ɳɯ˩	õ ˧ ɬ i ˧ qʰ v̩ ˧ ɳ ɯ ˩  
õ˧ɳɯ˥	õ ˧ ɳ ɯ ˥  
õ˧ʈʂwɤ˧	õ ˧ ʈʂ wɤ ˧  
õ˧ʈʂʰɯ˧bæ˧	õ ˧ ʈʂʰ ɯ ˧ b æ ˧  
õ˧ʈʂʰɯ˧dʑo˩	õ ˧ ʈʂʰ ɯ ˧ dʑ o ˩  
õ˧ʈʂʰɯ˧lɑ˥	õ ˧ ʈʂʰ ɯ ˧ l ɑ ˥  
õ˧ʈʂʰɯ˧lɑ˩	õ ˧ ʈʂʰ ɯ ˧ l ɑ ˩  
õ˧ʈʂʰɯ˧ne˧ʝi˥kwɤ˩tɕɯ˩lɑ˩	õ ˧ ʈʂʰ ɯ ˧ n e ˧ ʝ i ˥ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
õ˧ʈʂʰɯ˧ne˧ʝi˥zo˩	õ ˧ ʈʂʰ ɯ ˧ n e ˧ ʝ i ˥ z o ˩  
õ˧ʈʂʰɯ˧ɲi˧ʑi˩	õ ˧ ʈʂʰ ɯ ˧ ɲ i ˧ ʑ i ˩  
õ˧ʈʂʰɯ˧ɻæ˥	õ ˧ ʈʂʰ ɯ ˧ ɻ æ ˥  
õ˧ʈʂʰɯ˧ʑ	õ ˧ ʈʂʰ ɯ ˧ ʑ  
pi˥kv̩˩mæ˩	p i ˥ k v̩ ˩ m æ ˩  
pi˥ɲi˩ze˩mæ˩	p i ˥ ɲ i ˩ z e ˩ m æ ˩  
pi˧bi˧	p i ˧ b i ˧  
pi˧di˧˥	p i ˧ d i ˧˥  
pi˧hĩ˧dʑo˩	p i ˧ h ĩ ˧ dʑ o ˩  
pi˧hĩ˧tʰv̩˥dʑo˩	p i ˧ h ĩ ˧ tʰ v̩ ˥ dʑ o ˩  
pi˧hĩ˧tʰv̩˧ɳɯ˩	p i ˧ h ĩ ˧ tʰ v̩ ˧ ɳ ɯ ˩  
pi˧hĩ˩ʈʂʰɯ˩dʑo˩	p i ˧ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
pi˧kv̩˥mæ˩	p i ˧ k v̩ ˥ m æ ˩  
pi˧kv̩˩mv̩˩	p i ˧ k v̩ ˩ m v̩ ˩  
pi˧kv̩˩ni˩	p i ˧ k v̩ ˩ n i ˩  
pi˧kv̩˩tsɯ˩mv̩˩	p i ˧ k v̩ ˩ ts ɯ ˩ m v̩ ˩  
pi˧mv̩˩	p i ˧ m v̩ ˩  
pi˧tsɯ˩mv̩˩	p i ˧ ts ɯ ˩ m v̩ ˩  
pi˧zo˩dʑo˩	p i ˧ z o ˩ dʑ o ˩  
pi˧ɲi˥tsɯ˩mv̩˩	p i ˧ ɲ i ˥ ts ɯ ˩ m v̩ ˩  
pi˧ɲi˥tsɯ˩mæ˩	p i ˧ ɲ i ˥ ts ɯ ˩ m æ ˩  
pi˧ɲi˥ze˩mæ˩	p i ˧ ɲ i ˥ z e ˩ m æ ˩  
pi˩dʑo˩	p i ˩ dʑ o ˩  
pi˩hĩ˩qo˥dʑo˩	p i ˩ h ĩ ˩ q o ˥ dʑ o ˩  
pi˩hĩ˩ʈʂʰɯ˩dʑo˩	p i ˩ h ĩ ˩ ʈʂʰ ɯ ˩ dʑ o ˩  
pi˩kv̩˩	p i ˩ k v̩ ˩  
pi˩wɤ˩	p i ˩ wɤ ˩  
pi˩ze˩	p i ˩ z e ˩  
pi˩ɲi˩ze˩	p i ˩ ɲ i ˩ z e ˩  
po	p o  
po˥bi˩kv̩˩	p o ˥ b i ˩ k v̩ ˩  
po˥jo˩kv̩˩	p o ˥ jo ˩ k v̩ ˩  
po˥jo˩kv̩˩mæ˩	p o ˥ jo ˩ k v̩ ˩ m æ ˩  
po˥ɳɯ˩	p o ˥ ɳ ɯ ˩  
po˧	p o ˧  
po˧hĩ˥	p o ˧ h ĩ ˥  
po˧hɯ˧ɲi˥	p o ˧ h ɯ ˧ ɲ i ˥  
po˧hɯ˧ɲi˥mæ˩	p o ˧ h ɯ ˧ ɲ i ˥ m æ ˩  
po˧jo˥	p o ˧ jo ˥  
po˧jo˥kv̩˩mæ˩	p o ˧ jo ˥ k v̩ ˩ m æ ˩  
po˧kʰi˥	p o ˧ kʰ i ˥  
po˧tso˧ɲi˥ze˩	p o ˧ ts o ˧ ɲ i ˥ z e ˩  
po˧tsʰɯ˧ɻ̩˥	p o ˧ tsʰ ɯ ˧ ɻ̩ ˥  
po˧ʁo˧ɲi˥tsɯ˩	p o ˧ ʁ o ˧ ɲ i ˥ ts ɯ ˩  
po˧ʂæ˧pi˧hĩ˧	p o ˧ ʂ æ ˧ p i ˧ h ĩ ˧  
po˩bi˩	p o ˩ b i ˩  
po˩tsʰɯ˩pi˩	p o ˩ tsʰ ɯ ˩ p i ˩  
po˩˥	p o ˩˥  
pv	p v  
pv̩˥mɤ˩kv̩˩	p v̩ ˥ m ɤ ˩ k v̩ ˩  
pv̩˧hĩ˧lɑ˩	p v̩ ˧ h ĩ ˧ l ɑ ˩  
pv̩˩ho˩pʰæ˩di˩	p v̩ ˩ h o ˩ pʰ æ ˩ d i ˩  
pv̩˩kʰɯ˥ɲi˩mæ˩	p v̩ ˩ kʰ ɯ ˥ ɲ i ˩ m æ ˩  
pv̩˩mɤ˩kv̩˩	p v̩ ˩ m ɤ ˩ k v̩ ˩  
pv̩˩mɤ˩ʝi˩	p v̩ ˩ m ɤ ˩ ʝ i ˩  
pæ˧pæ˧sɯ˧	p æ ˧ p æ ˧ s ɯ ˧  
pæ˧wo˧ho˥	p æ ˧ w o ˧ h o ˥  
pæ˧ɻæ˩ʈʂʰo˩	p æ ˧ ɻ æ ˩ ʈʂʰ o ˩  
pæ˧ɻæ˩ʈʂʰo˩ɳɯ˩	p æ ˧ ɻ æ ˩ ʈʂʰ o ˩ ɳ ɯ ˩  
pæ˩pʰæ˧	p æ ˩ pʰ æ ˧  
pɑ˩ʂɯ˧	p ɑ ˩ ʂ ɯ ˧  
pɑ˩ʂɯ˧tɕo˥hĩ˩	p ɑ ˩ ʂ ɯ ˧ tɕ o ˥ h ĩ ˩  
pɤ˧pɤ˥	p ɤ ˧ p ɤ ˥  
pɤ˧ʈʂʰɯ˧	p ɤ ˧ ʈʂʰ ɯ ˧  
pɤ˩jɤ˧qo˥ho˩	p ɤ ˩ jɤ ˧ q o ˥ h o ˩  
pɤ˩pɤ˩	p ɤ ˩ p ɤ ˩  
pʰe	pʰ e  
pʰi	pʰ i  
pʰi˧ʈʂæ˧	pʰ i ˧ ʈʂ æ ˧  
pʰi˩hæ˩˥	pʰ i ˩ h æ ˩˥  
pʰi˩ʈʰæ˩qʰwɤ˥lɑ˩	pʰ i ˩ ʈʰ æ ˩ qʰ wɤ ˥ l ɑ ˩  
pʰo˥	pʰ o ˥  
pʰo˥hĩ˩	pʰ o ˥ h ĩ ˩  
pʰo˥ɲi˩	pʰ o ˥ ɲ i ˩  
pʰo˧kv̩˥	pʰ o ˧ k v̩ ˥  
pʰo˧˥	pʰ o ˧˥  
pʰo˩bi˩	pʰ o ˩ b i ˩  
pʰo˩tsɯ˥	pʰ o ˩ ts ɯ ˥  
pʰo˩ɲi˥pi˩tsɯ˩	pʰ o ˩ ɲ i ˥ p i ˩ ts ɯ ˩  
pʰo˩ɲi˩	pʰ o ˩ ɲ i ˩  
pʰv̩˥kv̩˩	pʰ v̩ ˥ k v̩ ˩  
pʰv̩˧tsɯ˥	pʰ v̩ ˧ ts ɯ ˥  
pʰv̩˧tɕæ˥ɻæ˩	pʰ v̩ ˧ tɕ æ ˥ ɻ æ ˩  
pʰv̩˧tɕæ˥ɻæ˩ʈʂʰɯ˩	pʰ v̩ ˧ tɕ æ ˥ ɻ æ ˩ ʈʂʰ ɯ ˩  
pʰv̩˧ze˥tsɯ˩mæ˩	pʰ v̩ ˧ z e ˥ ts ɯ ˩ m æ ˩  
pʰv̩˧ɖɯ˧kv̩˥	pʰ v̩ ˧ ɖ ɯ ˧ k v̩ ˥  
pʰv̩˧ɖɯ˧ʝi˥kv̩˩mæ˩	pʰ v̩ ˧ ɖ ɯ ˧ ʝ i ˥ k v̩ ˩ m æ ˩  
pʰv̩˧ɖɯ˧˥	pʰ v̩ ˧ ɖ ɯ ˧˥  
pʰv̩˧ʈʂʰe˩kv̩˩ze˩	pʰ v̩ ˧ ʈʂʰ e ˩ k v̩ ˩ z e ˩  
pʰv̩˧ʈʂʰɯ˧	pʰ v̩ ˧ ʈʂʰ ɯ ˧  
pʰv̩˧˥	pʰ v̩ ˧˥  
pʰv̩˩hĩ˩tʰv̩˩ʁo˥	pʰ v̩ ˩ h ĩ ˩ tʰ v̩ ˩ ʁ o ˥  
pʰv̩˩tɕæ˥ɻæ˩gv̩˩ze˩kv̩˩ze˩mæ˩	pʰ v̩ ˩ tɕ æ ˥ ɻ æ ˩ g v̩ ˩ z e ˩ k v̩ ˩ z e ˩ m æ ˩  
pʰv̩˩tɕæ˩ɻæ˥	pʰ v̩ ˩ tɕ æ ˩ ɻ æ ˥  
pʰv̩˩tɕæ˩ɻæ˥tʰv̩˩	pʰ v̩ ˩ tɕ æ ˩ ɻ æ ˥ tʰ v̩ ˩  
pʰv̩˩ɖɯ˩	pʰ v̩ ˩ ɖ ɯ ˩  
pʰæ˧	pʰ æ ˧  
pʰæ˧qʰwɤ˩ʈʂʰɯ˩	pʰ æ ˧ qʰ wɤ ˩ ʈʂʰ ɯ ˩  
pʰæ˧tɕi˥dʑo˩	pʰ æ ˧ tɕ i ˥ dʑ o ˩  
pʰæ˧tɕi˥zo˩	pʰ æ ˧ tɕ i ˥ z o ˩  
pʰæ˧tɕi˥ɳɯ˩	pʰ æ ˧ tɕ i ˥ ɳ ɯ ˩  
pʰæ˧tɕi˥ɻæ˩	pʰ æ ˧ tɕ i ˥ ɻ æ ˩  
pʰæ˧tɕi˥ɻæ˩dʑo˩	pʰ æ ˧ tɕ i ˥ ɻ æ ˩ dʑ o ˩  
pʰɑ˩sɑ˩sɑ˩˥	pʰ ɑ ˩ s ɑ ˩ s ɑ ˩˥  
pʰɤ˩bɤ˩	pʰ ɤ ˩ b ɤ ˩  
q	q  
qi˧qi˧dʑo˧	q i ˧ q i ˧ dʑ o ˧  
qo˧bɤ˧dʑo˩	q o ˧ b ɤ ˧ dʑ o ˩  
qo˧ɻ̍˧ʁo˧qʰwɤ˥	q o ˧ ɻ̍ ˧ ʁ o ˧ qʰ wɤ ˥  
qo˩hĩ˩	q o ˩ h ĩ ˩  
qo˩ho˧˥	q o ˩ h o ˧˥  
qo˩qɑ˩ɳɯ˥	q o ˩ q ɑ ˩ ɳ ɯ ˥  
qo˩qɑ˩ʁo˥	q o ˩ q ɑ ˩ ʁ o ˥  
qo˩qɑ˩ʈʰæ˩qo˥	q o ˩ q ɑ ˩ ʈʰ æ ˩ q o ˥  
qo˩tv̩˥	q o ˩ t v̩ ˥  
qv	q v  
qv̩˧dzi˩ʈʰæ˩qo˩	q v̩ ˧ dz i ˩ ʈʰ æ ˩ q o ˩  
qv̩˧ɻ̍˧ki˧	q v̩ ˧ ɻ̍ ˧ k i ˧  
qv̩˧ɻ̍˧ʁo˧qʰwɤ˥ʈʂʰɯ˩	q v̩ ˧ ɻ̍ ˧ ʁ o ˧ qʰ wɤ ˥ ʈʂʰ ɯ ˩  
qv̩˧ɻ̍˧ʁo˧to˩	q v̩ ˧ ɻ̍ ˧ ʁ o ˧ t o ˩  
qv̩˧ɻ̍˧ʈʂʰæ˧nɑ˥dʑɯ˩	q v̩ ˧ ɻ̍ ˧ ʈʂʰ æ ˧ n ɑ ˥ dʑ ɯ ˩  
qv̩˧ɻ̍˧ʈʂʰɯ˧	q v̩ ˧ ɻ̍ ˧ ʈʂʰ ɯ ˧  
qv̩˧ʈʂæ˧qo˥	q v̩ ˧ ʈʂ æ ˧ q o ˥  
qwæ˥dʑo˩	q wæ ˥ dʑ o ˩  
qwæ˧	q wæ ˧  
qwæ˧ʁo˧	q wæ ˧ ʁ o ˧  
qwæ˩bi˩	q wæ ˩ b i ˩  
qwæ˩bi˩dʑo˩	q wæ ˩ b i ˩ dʑ o ˩  
qwæ˩bi˩kv̩˩ze˩	q wæ ˩ b i ˩ k v̩ ˩ z e ˩  
qwæ˩hĩ˩lɑ˩	q wæ ˩ h ĩ ˩ l ɑ ˩  
qwæ˩qwæ˧˥	q wæ ˩ q wæ ˧˥  
qwæ˩se˩	q wæ ˩ s e ˩  
qwæ˩ɖʐæ˩qo˥	q wæ ˩ ɖʐ æ ˩ q o ˥  
qwæ˩ʈʂæ˩qo˥	q wæ ˩ ʈʂ æ ˩ q o ˥  
qwɤ˧qo˧	q wɤ ˧ q o ˧  
qwɤ˧ɭɯ˧	q wɤ ˧ ɭ ɯ ˧  
qæ˥ɲi˩tsɯ˩	q æ ˥ ɲ i ˩ ts ɯ ˩  
qæ˧di˧	q æ ˧ d i ˧  
qæ˧do˧dʑo˥	q æ ˧ d o ˧ dʑ o ˥  
qæ˧do˧sɯ˥	q æ ˧ d o ˧ s ɯ ˥  
qæ˧ho˥	q æ ˧ h o ˥  
qæ˧kv̩˥	q æ ˧ k v̩ ˥  
qæ˧kʰɯ˩ze˩	q æ ˧ kʰ ɯ ˩ z e ˩  
qæ˧pi˥kv̩˩mæ˩	q æ ˧ p i ˥ k v̩ ˩ m æ ˩  
qæ˧qæ˧tɕɯ˩zo˩	q æ ˧ q æ ˧ tɕ ɯ ˩ z o ˩  
qæ˧qæ˧ɲi˥	q æ ˧ q æ ˧ ɲ i ˥  
qæ˧˥	q æ ˧˥  
qæ˩tsɯ˩	q æ ˩ ts ɯ ˩  
qɑ˧kv̩˥	q ɑ ˧ k v̩ ˥  
qɑ˧qɑ˥bi˩	q ɑ ˧ q ɑ ˥ b i ˩  
qɑ˧qɑ˧ɻ̍˥	q ɑ ˧ q ɑ ˧ ɻ̍ ˥  
qɑ˧ɻ˥	q ɑ ˧ ɻ ˥  
qɑ˩qɑ˧bi˧	q ɑ ˩ q ɑ ˧ b i ˧  
qɑ˩qɑ˩	q ɑ ˩ q ɑ ˩  
qʰo˧bi˧bi˧	qʰ o ˧ b i ˧ b i ˧  
qʰo˧kv̩˥	qʰ o ˧ k v̩ ˥  
qʰo˧kv̩˥ze˩mæ˩	qʰ o ˧ k v̩ ˥ z e ˩ m æ ˩  
qʰo˧se˥kwɤ˩tɕɯ˩lɑ˩	qʰ o ˧ s e ˥ k wɤ ˩ tɕ ɯ ˩ l ɑ ˩  
qʰv̩˧kv̩˥	qʰ v̩ ˧ k v̩ ˥  
qʰv̩˧kv̩˧hĩ˧tʰv̩˧	qʰ v̩ ˧ k v̩ ˧ h ĩ ˧ tʰ v̩ ˧  
qʰv̩˧kʰv̩˥ʂɯ˩kʰv̩˩	qʰ v̩ ˧ kʰ v̩ ˥ ʂ ɯ ˩ kʰ v̩ ˩  
qʰv̩˧zo˥	qʰ v̩ ˧ z o ˥  
qʰv̩˧ɬi˧mi˧kʰɤ˧ʂɯ˧	qʰ v̩ ˧ ɬ i ˧ m i ˧ kʰ ɤ ˧ ʂ ɯ ˧  
qʰv̩˧ɭɯ˥qo˩	qʰ v̩ ˧ ɭ ɯ ˥ q o ˩  
qʰv̩˧˥	qʰ v̩ ˧˥  
