tɕe	t ɕ e
chɯɤjɤr	c h ɯ ɤ j ɤ r
chɯɤrɤɕɯɕrɤz	c h ɯ ɤ r ɤ ɕ ɯ ɕ r ɤ z
chɯɤtɕɯtʂi	c h ɯ ɤ t ɕ ɯ t ʂ i
chɯɤʑɯrjandʑi	c h ɯ ɤ ʑ ɯ r j a n d ʑ i
chɯɤʑɯrjanɯ	c h ɯ ɤ ʑ ɯ r j a n ɯ
chɯɬoʁa	c h ɯ ɬ o ʁ a
chɯɬoʁndʑi	c h ɯ ɬ o ʁ n d ʑ i
chɯɴɢaʁ	c h ɯ ɴ ɢ a ʁ
chɯʑi	c h ɯ ʑ i
chɯʑɣɤ	c h ɯ ʑ ɣ ɤ
chɯʑɣɤsɯχsunɯ	c h ɯ ʑ ɣ ɤ s ɯ χ s u n ɯ
chɯ́wɣ	c h ɯ ́ w ɣ
chɯ́wɣcɯm	c h ɯ ́ w ɣ c ɯ m
chɯ́wɣji	c h ɯ ́ w ɣ j i
chɯ́wɣkrɤɣ	c h ɯ ́ w ɣ k r ɤ ɣ
chɯ́wɣmqlaʁ	c h ɯ ́ w ɣ m q l a ʁ
chɯ́wɣndzri	c h ɯ ́ w ɣ n d z r i
chɯ́wɣndʑɯr	c h ɯ ́ w ɣ n d ʑ ɯ r
chɯ́wɣntshi	c h ɯ ́ w ɣ n t s h i
chɯ́wɣnɤqhɤŋga	c h ɯ ́ w ɣ n ɤ q h ɤ ŋ g a
chɯ́wɣnɯtɕɤt	c h ɯ ́ w ɣ n ɯ t ɕ ɤ t
chɯ́wɣnɯtʂɯβ	c h ɯ ́ w ɣ n ɯ t ʂ ɯ β
chɯ́wɣnɯɣɯt	c h ɯ ́ w ɣ n ɯ ɣ ɯ t
chɯ́wɣnɯβʑunɯ	c h ɯ ́ w ɣ n ɯ β ʑ u n ɯ
chɯ́wɣphaʁ	c h ɯ ́ w ɣ p h a ʁ
chɯ́wɣqɤr	c h ɯ ́ w ɣ q ɤ r
chɯ́wɣraʁrɯz	c h ɯ ́ w ɣ r a ʁ r ɯ z
chɯ́wɣrɤt	c h ɯ ́ w ɣ r ɤ t
chɯ́wɣrɯtɤmtɯ	c h ɯ ́ w ɣ r ɯ t ɤ m t ɯ
chɯ́wɣsloʁ	c h ɯ ́ w ɣ s l o ʁ
chɯ́wɣsɤmɯzɣɯt	c h ɯ ́ w ɣ s ɤ m ɯ z ɣ ɯ t
chɯ́wɣsɤsɯɣ	c h ɯ ́ w ɣ s ɤ s ɯ ɣ
chɯ́wɣsɯlɤt	c h ɯ ́ w ɣ s ɯ l ɤ t
chɯ́wɣsɯpɕiz	c h ɯ ́ w ɣ s ɯ p ɕ i z
chɯ́wɣsɯxso	c h ɯ ́ w ɣ s ɯ x s o
chɯ́wɣsɯxɕe	c h ɯ ́ w ɣ s ɯ x ɕ e
chɯ́wɣsɯɣe	c h ɯ ́ w ɣ s ɯ ɣ e
chɯ́wɣtshoʁ	c h ɯ ́ w ɣ t s h o ʁ
chɯ́wɣznɯɣmbɤβnɯ	c h ɯ ́ w ɣ z n ɯ ɣ m b ɤ β n ɯ
chɯ́wɣzrɤtʂɯβ	c h ɯ ́ w ɣ z r ɤ t ʂ ɯ β
chɯ́wɣɣɤmɯt	c h ɯ ́ w ɣ ɣ ɤ m ɯ t
chɯ́wɣɣɤtshunɯ	c h ɯ ́ w ɣ ɣ ɤ t s h u n ɯ
chɯ́wɣʁndzɤr	c h ɯ ́ w ɣ ʁ n d z ɤ r
chɯ́wɣʑa	c h ɯ ́ w ɣ ʑ a
chɯ́wɣʑɴɢu	c h ɯ ́ w ɣ ʑ ɴ ɢ u
chɯ́wɣβde	c h ɯ ́ w ɣ β d e
chɯ́wɣβʑoʁ	c h ɯ ́ w ɣ β ʑ o ʁ
chɯ́wɣχɕoʁ	c h ɯ ́ w ɣ χ ɕ o ʁ
chɯβdej	c h ɯ β d e j
chɯβlɯnɯ	c h ɯ β l ɯ n ɯ
chɯβʑunɯ	c h ɯ β ʑ u n ɯ
chɯχse	c h ɯ χ s e
ch́ɯwɣrku	c h ́ ɯ w ɣ r k u
cinɯ	c i n ɯ
ciŋglɯɣ	c i ŋ g l ɯ ɣ
claʁclaʁ	c l a ʁ c l a ʁ
cloʁcloʁ	c l o ʁ c l o ʁ
comuco	c o m u c o
cong	c o n g
cunweihui	c u n w e i h u i
cɤmuco	c ɤ m u c o
cɤŋgɤɣ	c ɤ ŋ g ɤ ɣ
cɯnkhɤβ	c ɯ n k h ɤ β
cɯri	c ɯ r i
cɯŋg	c ɯ ŋ g
cɯɣɬaj	c ɯ ɣ ɬ a j
cɯβjɯz	c ɯ β j ɯ z
dachang	d a c h a n g
dadian	d a d i a n
dadui	d a d u i
dagai	d a g a i
daguji	d a g u j i
dalishi	d a l i s h i
daltsa	d a l t s a
dami	d a m i
danbapɯ	d a n b a p ɯ
dangdangdang	d a n g d a n g d a n g
danggui	d a n g g u i
danglang	d a n g l a n g
dangshi	d a n g s h i
dao	d a o
dapanjiao	d a p a n j i a o
dianchang	d i a n c h a n g
diandeng	d i a n d e n g
diangan	d i a n g a n
dianhua	d i a n h u a
dianli	d i a n l i
diannao	d i a n n a o
dianxian	d i a n x i a n
diao	d i a o
didao	d i d a o
difangbing	d i f a n g b i n g
digongzi	d i g o n g z i
dioʁdioʁ	d i o ʁ d i o ʁ
diqiu	d i q i u
dizi	d i z i
dong	d o n g
dongbei	d o n g b e i
dongfang	d o n g f a n g
donghancai	d o n g h a n c a i
dongmian	d o n g m i a n
dongzhi	d o n g z h i
doujia	d o u j i a
droŋdroŋ	d r o ŋ d r o ŋ
du	d u
dudu	d u d u
dudut	d u d u t
duoyu	d u o y u
dzoŋdzoŋ	d z o ŋ d z o ŋ
dzoʁ	d z o ʁ
dɤnnɯ	d ɤ n n ɯ
dʐoŋdʐoŋ	d ʐ o ŋ d ʐ o ŋ
dʐɯβnɤdʐɯβ	d ʐ ɯ β n ɤ d ʐ ɯ β
dʑaŋnɤdʑaŋ	d ʑ a ŋ n ɤ d ʑ a ŋ
dʑi	d ʑ i
dʑidʑidʑi	d ʑ i d ʑ i d ʑ i
dʑɯpdʑɯp	d ʑ ɯ p d ʑ ɯ p
dʑɯŋkɤr	d ʑ ɯ ŋ k ɤ r
dʑɯβdʑɯβ	d ʑ ɯ β d ʑ ɯ β
ej	e j
er	e r
ercai	e r c a i
ercha	e r c h a
erchacun	e r c h a c u n
erhuanglin	e r h u a n g l i n
erji	e r j i
erlou	e r l o u
ernianji	e r n i a n j i
ershiduo	e r s h i d u o
fada	f a d a
falidong	f a l i d o n g
fazhan	f a z h a n
fcɤrŋgu	f c ɤ r ŋ g u
feizao	f e i z a o
fenbi	f e n b i
fengshu	f e n g s h u
fenguan	f e n g u a n
fengxinzi	f e n g x i n z i
fengye	f e n g y e
fenhong	f e n h o n g
fenpei	f e n p e i
fenshuxian	f e n s h u x i a n
fkura	f k u r a
fsetɕi	f s e t ɕ i
fsoʁ	f s o ʁ
fsuqixpa	f s u q i x p a
fsusqaprɤɣ	f s u s q a p r ɤ ɣ
fsusqifkur	f s u s q i f k u r
fsɯqɯχtsiɯ	f s ɯ q ɯ χ t s i ɯ
fsɯsqi	f s ɯ s q i
fsɯsqildʑa	f s ɯ s q i l d ʑ a
ftɕhoʁftɕhoʁ	f t ɕ h o ʁ f t ɕ h o ʁ
ftɕhɯra	f t ɕ h ɯ r a
ftɕɤfkɤt	f t ɕ ɤ f k ɤ t
ftɕɤru	f t ɕ ɤ r u
fu	f u
fuxianzhang	f u x i a n z h a n g
fɕafɕɤt	f ɕ a f ɕ ɤ t
fɕata	f ɕ a t a
fɕɤttɕi	f ɕ ɤ t t ɕ i
gancui	g a n c u i
gangjinchahu	g a n g j i n c h a h u
gangjing	g a n g j i n g
gangjinguo	g a n g j i n g u o
ganlanse	g a n l a n s e
ganlao	g a n l a o
ganqing	g a n q i n g
gaozhong	g a o z h o n g
gaŋgaŋ	g a ŋ g a ŋ
ge	g e
gong	g o n g
gongfen	g o n g f e n
gongshanyang	g o n g s h a n y a n g
gongshe	g o n g s h e
gongxun	g o n g x u n
gongyeyuan	g o n g y e y u a n
gongzhu	g o n g z h u
gongzuo	g o n g z u o
gouweicao	g o u w e i c a o
grɯŋgrɯŋ	g r ɯ ŋ g r ɯ ŋ
gua	g u a
guan	g u a n
guanglin	g u a n g l i n
guanjia	g u a n j i a
guanxi	g u a n x i
gubosi	g u b o s i
gudong	g u d o n g
gui	g u i
guji	g u j i
guowang	g u o w a n g
guwandian	g u w a n d i a n
guzhi	g u z h i
gɯgɯji	g ɯ g ɯ j i
ha	h a
hajuju	h a j u j u
hanguo	h a n g u o
hanjia	h a n j i a
hao	h a o
hehe	h e h e
hei	h e i
helan	h e l a n
heng	h e n g
hengsherer	h e n g s h e r e r
heshanghua	h e s h a n g h u a
hm	h m
hn	h n
hong	h o n g
hongqingjiao	h o n g q i n g j i a o
hongtong	h o n g t o n g
hontong	h o n t o n g
hu	h u
huangdou	h u a n g d o u
huangguan	h u a n g g u a n
huanghou	h u a n g h o u
huangshulang	h u a n g s h u l a n g
huanying	h u a n y i n g
huarui	h u a r u i
huasenage	h u a s e n a g e
huo	h u o
huodong	h u o d o n g
huoya	h u o y a
huoyao	h u o y a o
hɯnɯβzunɯ	h ɯ n ɯ β z u n ɯ
ideoph	i d e o p h
ipɕoʁ	i p ɕ o ʁ
irmi	i r m i
itɤɕime	i t ɤ ɕ i m e
itʂapa	i t ʂ a p a
izora	i z o r a
iŋga	i ŋ g a
iɕqhan	i ɕ q h a n
jalɤtndʑi	j a l ɤ t n d ʑ i
jalɤtnɯ	j a l ɤ t n ɯ
jano	j a n o
janonɯ	j a n o n ɯ
janɯɣɯt	j a n ɯ ɣ ɯ t
japandʐi	j a p a n d ʐ i
japhɣo	j a p h ɣ o
japjɤl	j a p j ɤ l
japjɤlnɯ	j a p j ɤ l n ɯ
jarma	j a r m a
jarɤɕi	j a r ɤ ɕ i
jasa	j a s a
jasɤzɣɯtnɯ	j a s ɤ z ɣ ɯ t n ɯ
jasɤɣri	j a s ɤ ɣ r i
jaɣɯtndʑi	j a ɣ ɯ t n d ʑ i
jaʁmu	j a ʁ m u
jaχpɤtar	j a χ p ɤ t a r
jia	j i a
jiaju	j i a j u
jialv	j i a l v
jian	j i a n
jiang	j i a n g
jiangjiu	j i a n g j i u
jianzhu	j i a n z h u
jiao	j i a o
jiaoshui	j i a o s h u i
jiaotang	j i a o t a n g
jiaqi	j i a q i
jiazi	j i a z i
jiazu	j i a z u
jibai	j i b a i
jiehunzheng	j i e h u n z h e n g
jiezhishen	j i e z h i s h e n
jiguanhua	j i g u a n h u a
jijilco	j i j i l c o
jijɤazɣɯt	j i j ɤ a z ɣ ɯ t
jijɤru	j i j ɤ r u
jikezhang	j i k e z h a n g
jikhɤkɤcu	j i k h ɤ k ɤ c u
jikɤndza	j i k ɤ n d z a
jikɤnɤrɕɤmŋɤm	j i k ɤ n ɤ r ɕ ɤ m ŋ ɤ m
jikɤnɯmga	j i k ɤ n ɯ m g a
jikɤnɯraχtɕɤz	j i k ɤ n ɯ r a χ t ɕ ɤ z
jikɤnɯrga	j i k ɤ n ɯ r g a
jikɤnɯsɯχtɕɤz	j i k ɤ n ɯ s ɯ χ t ɕ ɤ z
jikɤpa	j i k ɤ p a
jikɤrku	j i k ɤ r k u
jikɤrme	j i k ɤ r m e
jikɤŋga	j i k ɤ ŋ g a
jikɯnɯkon	j i k ɯ n ɯ k o n
jikɯnɯqambɯmbjom	j i k ɯ n ɯ q a m b ɯ m b j o m
jikɯrgɤz	j i k ɯ r g ɤ z
jilaz	j i l a z
jimbala	j i m b a l a
jimɲaʁ	j i m ɲ a ʁ
jin	j i n
jinbi	j i n b i
jincaihua	j i n c a i h u a
jinchuan	j i n c h u a n
jindzɤtshi	j i n d z ɤ t s h i
jingli	j i n g l i
jingyan	j i n g y a n
jinqiu	j i n q i u
jinɯ	j i n ɯ
jinɯjmɯta	j i n ɯ j m ɯ t a
jiphe	j i p h e
jipɕoʁ	j i p ɕ o ʁ
jirasti	j i r a s t i
jircɯrca	j i r c ɯ r c a
jirkɯ	j i r k ɯ
jirɟɤlkhɤβ	j i r ɟ ɤ l k h ɤ β
jirɟɤlsa	j i r ɟ ɤ l s a
jirɯŋgu	j i r ɯ ŋ g u
jisakaβ	j i s a k a β
jiscawa	j i s c a w a
jishenghuo	j i s h e n g h u o
jishenghuofei	j i s h e n g h u o f e i
jismɤnba	j i s m ɤ n b a
jisni	j i s n i
jisroʁ	j i s r o ʁ
jistɯnmɯ	j i s t ɯ n m ɯ
jisɤpɕoʁ	j i s ɤ p ɕ o ʁ
jisɤxɕe	j i s ɤ x ɕ e
jisɤɣzo	j i s ɤ ɣ z o
jitukɯwɣrum	j i t u k ɯ w ɣ r u m
jitɤru	j i t ɤ r u
jitɯci	j i t ɯ c i
jiubai	j i u b a i
jiuhuanji	j i u h u a n j i
jiujing	j i u j i n g
jiuyue	j i u y u e
jixiaozhang	j i x i a o z h a n g
jixtu	j i x t u
jizai	j i z a i
jizhenzhuquan	j i z h e n z h u q u a n
jizi	j i z i
jiznde	j i z n d e
jizrɤʑi	j i z r ɤ ʑ i
jiɕendʑi	j i ɕ e n d ʑ i
jiɕkuzonɯ	j i ɕ k u z o n ɯ
jiɣʑɤzga	j i ɣ ʑ ɤ z g a
jiʑɯmkhɤm	j i ʑ ɯ m k h ɤ m
jiβɣo	j i β ɣ o
jiχtɕɤzɤz	j i χ t ɕ ɤ z ɤ z
jlɤβndʑu	j l ɤ β n d ʑ u
jmɤtɤsti	j m ɤ t ɤ s t i
jofsendʑi	j o f s e n d ʑ i
jojotɕɤt	j o j o t ɕ ɤ t
jojɣe	j o j ɣ e
jojɣɤtnɯ	j o j ɣ ɤ t n ɯ
jokɤ	j o k ɤ
jokɤtɯɣci	j o k ɤ t ɯ ɣ c i
jokɤzɣɯt	j o k ɤ z ɣ ɯ t
jokɤzɣɯtndʑici	j o k ɤ z ɣ ɯ t n d ʑ i c i
jokɤzɣɯtnɯci	j o k ɤ z ɣ ɯ t n ɯ c i
jolɤtndʑi	j o l ɤ t n d ʑ i
jom	j o m
jomtshi	j o m t s h i
jomɟa	j o m ɟ a
jonondʑi	j o n o n d ʑ i
jonɤkhɯkhrɯt	j o n ɤ k h ɯ k h r ɯ t
jonɤstɤr	j o n ɤ s t ɤ r
jonɯ	j o n ɯ
jonɯjɣ	j o n ɯ j ɣ
jonɯjɣɤtndʑi	j o n ɯ j ɣ ɤ t n d ʑ i
jonɯmɲaqrɯ	j o n ɯ m ɲ a q r ɯ
jonɯqhɤstɯstu	j o n ɯ q h ɤ s t ɯ s t u
jonɯsɤtɕitʂindʑi	j o n ɯ s ɤ t ɕ i t ʂ i n d ʑ i
jonɯtsɯmndʑi	j o n ɯ t s ɯ m n d ʑ i
jonɯtsɯmnɯ	j o n ɯ t s ɯ m n ɯ
jonɯxsɯ	j o n ɯ x s ɯ
jonɯɣindʑi	j o n ɯ ɣ i n d ʑ i
jopjɤl	j o p j ɤ l
jopjɤlnɯ	j o p j ɤ l n ɯ
jopɣaʁ	j o p ɣ a ʁ
jorjɯɣ	j o r j ɯ ɣ
jorunɯ	j o r u n ɯ
jorɟ	j o r ɟ
jorɟɯɣnɯ	j o r ɟ ɯ ɣ n ɯ
jorɤɕi	j o r ɤ ɕ i
josɤtɕitʂi	j o s ɤ t ɕ i t ʂ i
josɤzɣɤt	j o s ɤ z ɣ ɤ t
josɯjaʁndzu	j o s ɯ j a ʁ n d z u
josɯsthoʁ	j o s ɯ s t h o ʁ
josɯxɕenɯ	j o s ɯ x ɕ e n ɯ
josɯɣenɯ	j o s ɯ ɣ e n ɯ
josɯβɟi	j o s ɯ β ɟ i
jotshoznɯ	j o t s h o z n ɯ
jotsu	j o t s u
jotsunɯ	j o t s u n ɯ
jotsɯmndʑi	j o t s ɯ m n d ʑ i
jotɯ	j o t ɯ
jotɯnot	j o t ɯ n o t
jotɯnɯzmɤkut	j o t ɯ n ɯ z m ɤ k u t
jotɯs	j o t ɯ s
jotʂaβ	j o t ʂ a β
jozɣɤsɯɕqhlɤt	j o z ɣ ɤ s ɯ ɕ q h l ɤ t
joŋke	j o ŋ k e
joɕ	j o ɕ
joɕqhlɤtndʑi	j o ɕ q h l ɤ t n d ʑ i
joɲat	j o ɲ a t
joʑ	j o ʑ
joʑa	j o ʑ a
joʑŋgunɯ	j o ʑ ŋ g u n ɯ
joʑɣ	j o ʑ ɣ
joʑɣɤsɤzɣɯtndʑi	j o ʑ ɣ ɤ s ɤ z ɣ ɯ t n d ʑ i
jówɣlɤt	j o ́ w ɣ l ɤ t
jówɣqru	j o ́ w ɣ q r u
jówɣsɯɣe	j o ́ w ɣ s ɯ ɣ e
jówɣsɯɣenɯ	j o ́ w ɣ s ɯ ɣ e n ɯ
jówɣta	j o ́ w ɣ t a
jówɣtsɯmndʑi	j o ́ w ɣ t s ɯ m n d ʑ i
jówɣtɕɤtnɯ	j o ́ w ɣ t ɕ ɤ t n ɯ
jówɣɣɯt	j o ́ w ɣ ɣ ɯ t
jówɣβɟi	j o ́ w ɣ β ɟ i
jtshi	j t s h i
juanxingbai	j u a n x i n g b a i
juchanggongrenbu	j u c h a n g g o n g r e n b u
jufse	j u f s e
jufsoʁ	j u f s o ʁ
jukɤrɤɕi	j u k ɤ r ɤ ɕ i
jukɤsɯphɣo	j u k ɤ s ɯ p h ɣ o
jukɤsɯxɕe	j u k ɤ s ɯ x ɕ e
jukɤɣi	j u k ɤ ɣ i
jukɯmɤku	j u k ɯ m ɤ k u
jukɯnɯqambɯmbjom	j u k ɯ n ɯ q a m b ɯ m b j o m
jukɯrɟɯɣ	j u k ɯ r ɟ ɯ ɣ
jukɯsɤzɣɯta	j u k ɯ s ɤ z ɣ ɯ t a
jukɯsɯlɤt	j u k ɯ s ɯ l ɤ t
jukɯsɯxɕe	j u k ɯ s ɯ x ɕ e
jukɯsɯɣea	j u k ɯ s ɯ ɣ e a
jukɯtsɯmanɯ	j u k ɯ t s ɯ m a n ɯ
jukɯtsɯmi	j u k ɯ t s ɯ m i
jukɯɤmtɕoʁ	j u k ɯ ɤ m t ɕ o ʁ
jukɯɤrmbat	j u k ɯ ɤ r m b a t
julɤt	j u l ɤ t
julɤtnɯ	j u l ɤ t n ɯ
jumtsaʁnɯ	j u m t s a ʁ n ɯ
jumtshi	j u m t s h i
jumɟe	j u m ɟ e
jumɯrʁɯz	j u m ɯ r ʁ ɯ z
junaχtɤm	j u n a χ t ɤ m
jundui	j u n d u i
junnɯɕenɯ	j u n n ɯ ɕ e n ɯ
junnɯɣi	j u n n ɯ ɣ i
junonɯ	j u n o n ɯ
junɤkhe	j u n ɤ k h e
junɤrɯra	j u n ɤ r ɯ r a
junɤrɯraj	j u n ɤ r ɯ r a j
junɤtsɯmtsɯm	j u n ɤ t s ɯ m t s ɯ m
junɤɕejɣi	j u n ɤ ɕ e j ɣ i
junɤɕejɣɯjɣindʑi	j u n ɤ ɕ e j ɣ ɯ j ɣ i n d ʑ i
junɯ	j u n ɯ
junɯmɟe	j u n ɯ m ɟ e
junɯmɢlea	j u n ɯ m ɢ l e a
junɯqambɯmbjomndʑi	j u n ɯ q a m b ɯ m b j o m n d ʑ i
junɯrɕɯrɕɤt	j u n ɯ r ɕ ɯ r ɕ ɤ t
junɯzɣɯt	j u n ɯ z ɣ ɯ t
junɯzɣɯti	j u n ɯ z ɣ ɯ t i
junɯzʁenɯ	j u n ɯ z ʁ e n ɯ
junɯɕej	j u n ɯ ɕ e j
junɯɕendʑi	j u n ɯ ɕ e n d ʑ i
junɯɕqhlɤt	j u n ɯ ɕ q h l ɤ t
junɯɕɤlɤmbɯmbjomndʑi	j u n ɯ ɕ ɤ l ɤ m b ɯ m b j o m n d ʑ i
junɯɣindʑi	j u n ɯ ɣ i n d ʑ i
juormbat	j u o r m b a t
juoɲɟoʁ	j u o ɲ ɟ o ʁ
juphɣoa	j u p h ɣ o a
juphɣondʑi	j u p h ɣ o n d ʑ i
juruj	j u r u j
jurundʑi	j u r u n d ʑ i
jurɤsloʁ	j u r ɤ s l o ʁ
jurɤtɣe	j u r ɤ t ɣ e
jurɤɕi	j u r ɤ ɕ i
jurɤɣndi	j u r ɤ ɣ n d i
jusɤjti	j u s ɤ j t i
jusɤkɤlɤt	j u s ɤ k ɤ l ɤ t
jusɤnɯɕe	j u s ɤ n ɯ ɕ e
jusɤtse	j u s ɤ t s e
jusɯntɕhɤr	j u s ɯ n t ɕ h ɤ r
jusɯrɟɯɣa	j u s ɯ r ɟ ɯ ɣ a
jusɯxɕe	j u s ɯ x ɕ e
jusɯɣea	j u s ɯ ɣ e a
jusɯɣɯta	j u s ɯ ɣ ɯ t a
jutatsɯm	j u t a t s ɯ m
jute	j u t e
jutsɯmndʑi	j u t s ɯ m n d ʑ i
jutɯ	j u t ɯ
jutɯnɤm	j u t ɯ n ɤ m
jutɯnɤɕɯɕe	j u t ɯ n ɤ ɕ ɯ ɕ e
jutɯnɯɕe	j u t ɯ n ɯ ɕ e
jutɯru	j u t ɯ r u
jutɯsɯɣe	j u t ɯ s ɯ ɣ e
jutɯɣ	j u t ɯ ɣ
jutɯɣɯt	j u t ɯ ɣ ɯ t
jutɯɬoʁ	j u t ɯ ɬ o ʁ
juwumnɯ	j u w u m n ɯ
juzɣɤsɯɕqhlɤt	j u z ɣ ɤ s ɯ ɕ q h l ɤ t
juzɣɯti	j u z ɣ ɯ t i
juɕ	j u ɕ
juɕej	j u ɕ e j
juɕphɣama	j u ɕ p h ɣ a m a
juɕthɯz	j u ɕ t h ɯ z
juɣɯ	j u ɣ ɯ
juʑɣɤsɤri	j u ʑ ɣ ɤ s ɤ r i
juʑɣɤsɤrmbat	j u ʑ ɣ ɤ s ɤ r m b a t
júwɣkho	j u ́ w ɣ k h o
júwɣnɤkhɯkhrɯt	j u ́ w ɣ n ɤ k h ɯ k h r ɯ t
júwɣnɯtsɯm	j u ́ w ɣ n ɯ t s ɯ m
júwɣnɯtsɯmnɯ	j u ́ w ɣ n ɯ t s ɯ m n ɯ
júwɣrɤɕi	j u ́ w ɣ r ɤ ɕ i
júwɣsɤzɣɯt	j u ́ w ɣ s ɤ z ɣ ɯ t
júwɣsɤzɣɯtnɯ	j u ́ w ɣ s ɤ z ɣ ɯ t n ɯ
júwɣsɯno	j u ́ w ɣ s ɯ n o
júwɣsɯtsɯm	j u ́ w ɣ s ɯ t s ɯ m
júwɣtsɯm	j u ́ w ɣ t s ɯ m
júwɣɕar	j u ́ w ɣ ɕ a r
júwɣʑa	j u ́ w ɣ ʑ a
júwɣχtɤt	j u ́ w ɣ χ t ɤ t
juβze	j u β z e
juχtɤr	j u χ t ɤ r
jwajwa	j w a j w a
jɣata	j ɣ a t a
jɤanɯrindʑi	j ɤ a n ɯ r i n d ʑ i
jɤanɯzɣɯtnɯ	j ɤ a n ɯ z ɣ ɯ t n ɯ
jɤarqhi	j ɤ a r q h i
jɤarqhinɯ	j ɤ a r q h i n ɯ
jɤarɯrinɯ	j ɤ a r ɯ r i n ɯ
jɤawɯwumnɯ	j ɤ a w ɯ w u m n ɯ
jɤazɣɯzɣɯt	j ɤ a z ɣ ɯ z ɣ ɯ t
jɤjɣɤtnɯ	j ɤ j ɣ ɤ t n ɯ
jɤk	j ɤ k
jɤkɤnɤkhu	j ɤ k ɤ n ɤ k h u
jɤkɤnɯzɣɯt	j ɤ k ɤ n ɯ z ɣ ɯ t
jɤkɤsɯjaʁndzu	j ɤ k ɤ s ɯ j a ʁ n d z u
jɤkɯ	j ɤ k ɯ
jɤkɯmbjom	j ɤ k ɯ m b j o m
jɤkɯndʐaβ	j ɤ k ɯ n d ʐ a β
jɤkɯnɯphɣo	j ɤ k ɯ n ɯ p h ɣ o
jɤkɯsɯɕɣaza	j ɤ k ɯ s ɯ ɕ ɣ a z a
jɤkɯzɣɯt	j ɤ k ɯ z ɣ ɯ t
jɤkɯɤkhu	j ɤ k ɯ ɤ k h u
jɤkɯɤzɣɯt	j ɤ k ɯ ɤ z ɣ ɯ t
jɤlɤtnɯ	j ɤ l ɤ t n ɯ
jɤnɤmbɣaʁlaʁ	j ɤ n ɤ m b ɣ a ʁ l a ʁ
jɤnɯ	j ɤ n ɯ
jɤnɯjɣɤt	j ɤ n ɯ j ɣ ɤ t
jɤnɯmɤkua	j ɤ n ɯ m ɤ k u a
jɤnɯɣendʑi	j ɤ n ɯ ɣ e n d ʑ i
jɤphɣoa	j ɤ p h ɣ o a
jɤr	j ɤ r
jɤrundʑi	j ɤ r u n d ʑ i
jɤrɟɯɣa	j ɤ r ɟ ɯ ɣ a
jɤrɟɯɣnɯ	j ɤ r ɟ ɯ ɣ n ɯ
jɤsɯ	j ɤ s ɯ
jɤsɯjɣɤtnɯ	j ɤ s ɯ j ɣ ɤ t n ɯ
jɤsɯpjɤl	j ɤ s ɯ p j ɤ l
jɤsɯɣeta	j ɤ s ɯ ɣ e t a
jɤtano	j ɤ t a n o
jɤtatɕɤt	j ɤ t a t ɕ ɤ t
jɤtshi	j ɤ t s h i
jɤtsuj	j ɤ t s u j
jɤtsɯmnɯ	j ɤ t s ɯ m n ɯ
jɤtɯ	j ɤ t ɯ
jɤtɯanɯri	j ɤ t ɯ a n ɯ r i
jɤtɯɣenɯ	j ɤ t ɯ ɣ e n ɯ
jɤtɯɤzɣɯt	j ɤ t ɯ ɤ z ɣ ɯ t
jɤz	j ɤ z
jɤɕendʑi	j ɤ ɕ e n d ʑ i
jɤɣej	j ɤ ɣ e j
jɤɣendʑi	j ɤ ɣ e n d ʑ i
jɤɣindʑi	j ɤ ɣ i n d ʑ i
jɤɣtɕendɤre	j ɤ ɣ t ɕ e n d ɤ r e
jɤɣɤrna	j ɤ ɣ ɤ r n a
jɤɣɯto	j ɤ ɣ ɯ t o
jɤɬoʁa	j ɤ ɬ o ʁ a
jɤʑɣɤsɤrmbat	j ɤ ʑ ɣ ɤ s ɤ r m b a t
jɤ́	j ɤ ́
jɤ́wɣtsɯmnɯ	j ɤ ́ w ɣ t s ɯ m n ɯ
jɤ́wɣɣɯti	j ɤ ́ w ɣ ɣ ɯ t i
jɯarɕo	j ɯ a r ɕ o
jɯf	j ɯ f
jɯjakɯɣe	j ɯ j a k ɯ ɣ e
jɯjalɤt	j ɯ j a l ɤ t
jɯjɤaria	j ɯ j ɤ a r i a
jɯjɤkɤri	j ɯ j ɤ k ɤ r i
jɯjɤɣe	j ɯ j ɤ ɣ e
jɯjɤɣea	j ɯ j ɤ ɣ e a
jɯkɯɕqhlɤt	j ɯ k ɯ ɕ q h l ɤ t
jɯnɯsi	j ɯ n ɯ s i
jɯtoɬoʁ	j ɯ t o ɬ o ʁ
kaidao	k a i d a o
kaihu	k a i h u
kaixue	k a i x u e
kaji	k a j i
kakronɯ	k a k r o n ɯ
kalɤtnɯ	k a l ɤ t n ɯ
kamɯfsetɕi	k a m ɯ f s e t ɕ i
kandonɯ	k a n d o n ɯ
kandɯn	k a n d ɯ n
kanɯlɤt	k a n ɯ l ɤ t
kaojiu	k a o j i u
kaoshi	k a o s h i
kaphɯtndʑi	k a p h ɯ t n d ʑ i
kaphɯtnɯ	k a p h ɯ t n ɯ
kari	k a r i
kasqanɯ	k a s q a n ɯ
kasɤŋo	k a s ɤ ŋ o
kata	k a t a
katshi	k a t s h i
katɕɤβ	k a t ɕ ɤ β
kaznɤʁdana	k a z n ɤ ʁ d a n a
kaɣɯ	k a ɣ ɯ
kaʑanɯ	k a ʑ a n ɯ
kaχtɤr	k a χ t ɤ r
keren	k e r e n
khamu	k h a m u
khatʂu	k h a t ʂ u
khe	k h e
khenɯ	k h e n ɯ
khikhjo	k h i k h j o
